180,1,77,Act wild and crazy.,行為狂野瘋狂。,0.780,,1,H871,1,2025-12-08 00:00:00.0000000,
181,1,14,Am afraid that I will do the wrong thing.,我擔心自己會做錯事。,0.800,,1,H905,1,2025-12-08 00:00:00.0000000,
182,1,57,Am annoyed by others' mistakes.,我會因他人的錯誤而感到煩躁。,0.760,,1,E82,1,2025-12-08 00:00:00.0000000,
183,1,56,Am easily discouraged.,我容易感到沮喪。,0.850,,1,H647,1,2025-12-08 00:00:00.0000000,
184,1,14,Am easily hurt.,我容易受傷。,0.800,,1,H987,1,2025-12-08 00:00:00.0000000,
185,1,57,Am easily put out.,我容易生氣。,0.760,,1,H641,1,2025-12-08 00:00:00.0000000,
186,1,163,Am exacting in my work.,我對工作要求嚴格。,0.810,,1,X163,1,2025-12-08 00:00:00.0000000,
187,1,186,Am hard to get to know.,我很難被了解。,0.860,,1,"H596, X9",1,2025-12-08 00:00:00.0000000,
188,1,51,Am not afraid of providing criticism.,我不怕提出批評。,0.810,,1,H459,1,2025-12-08 00:00:00.0000000,
189,1,16,Am not afraid of providing criticism.,我不怕提出批評。,0.810,,1,H459,1,2025-12-08 00:00:00.0000000,
190,1,163,Am not bothered by disorder.,我不會被混亂所困擾。,0.810,,1,E7,1,2025-12-08 00:00:00.0000000,
191,1,163,Am not bothered by messy people.,我不會被凌亂的人困擾。,0.810,,1,E100,1,2025-12-08 00:00:00.0000000,
192,1,57,Am not easily annoyed.,我不容易被激怒。,0.760,,1,X23,1,2025-12-08 00:00:00.0000000,
193,1,14,Am not easily bothered by things.,我不容易被事情困擾。,0.800,,1,X138,1,2025-12-08 00:00:00.0000000,
194,1,56,Am not easily frustrated.,我不容易感到沮喪。,0.850,,1,X59,1,2025-12-08 00:00:00.0000000,
195,1,31,Am not interested in abstract ideas.,我對抽象概念不感興趣。,0.820,,1,X228,1,2025-12-08 00:00:00.0000000,
196,1,31,Am not interested in theoretical discussions.,我對理論討論不感興趣。,0.820,,1,X239,1,2025-12-08 00:00:00.0000000,
197,1,244,Am not really interested in others.,我對他人不太感興趣。,0.800,,1,X165,1,2025-12-08 00:00:00.0000000,
